Iteration,KMC Time,Bucket,monCount_A,monCount_B,seqCount_A,seqCount_B,seqLengths2_A,seqLengths2_B
14,1400.003615,1,201025,15343,10179,10091,3794175,30413
14,1400.003615,2,199962,16396,10539,10503,5953869,34229
14,1400.003615,3,199243,17505,10945,10931,7030642,38196
14,1400.003615,4,197915,18040,11156,11147,7211170,40025
14,1400.003615,5,197445,18933,11674,11572,7089984,41787
14,1400.003615,6,197008,20371,12262,12202,7046751,46782
14,1400.003615,7,194850,21478,12723,12715,6682504,51083
14,1400.003615,8,193581,22756,13051,12972,5768073,55302
14,1400.003615,9,190397,24974,13999,13849,5828070,63404
14,1400.003615,10,191842,26178,14369,14294,5375848,68060
14,1400.003615,11,187606,28048,15063,14943,5039872,76160
14,1400.003615,12,186346,31017,15910,15869,4674682,88261
14,1400.003615,13,182743,33669,16889,16705,4250473,98274
14,1400.003615,14,178376,35958,17273,17241,3875898,113499
14,1400.003615,15,178689,40001,18684,18427,3726401,129748
14,1400.003615,16,172982,43728,19186,19030,3201289,152297
14,1400.003615,17,167258,48421,20493,20303,2938032,175525
14,1400.003615,18,162395,54943,21790,21418,2627781,214480
14,1400.003615,19,154966,60053,22340,22021,2195359,252149
14,1400.003615,20,149012,68662,23759,23415,1982066,315165
14,1400.003615,21,140207,76530,24540,24202,1641986,385712
14,1400.003615,22,131031,85595,25128,24665,1410509,478832
14,1400.003615,23,120768,94927,25636,25124,1159005,577589
14,1400.003615,24,110408,106317,25973,25410,957011,721482
14,1400.003615,25,98473,118521,26057,25485,723845,895554
14,1400.003615,26,86785,129563,25243,24786,573301,1095488
14,1400.003615,27,74263,142495,24317,23701,447275,1369256
14,1400.003615,28,64451,152215,22976,22588,325130,1672271
14,1400.003615,29,62257,149432,26972,26795,304724,2747867
15,1500.004509,0,205014,14805,9584,9363,951114,26974
15,1500.004509,1,208833,16037,10596,10521,4141513,31929
15,1500.004509,2,207791,17049,10939,10949,6277443,35938
15,1500.004509,3,206946,18226,11381,11345,7247978,39302
15,1500.004509,4,205454,18975,11731,11669,7618880,42478
15,1500.004509,5,204947,19941,12266,12223,7400466,44508
15,1500.004509,6,204464,21336,12775,12718,7195287,49684
15,1500.004509,7,202054,22847,13362,13288,6655961,54539
15,1500.004509,8,200399,24431,13902,13775,6070551,60459
15,1500.004509,9,197588,26206,14565,14524,5847419,67421
15,1500.004509,10,198367,28170,15375,15324,5440976,74101
15,1500.004509,11,193710,30449,16046,15869,5046287,83991
15,1500.004509,12,192476,33354,16974,16927,4661562,97426
15,1500.004509,13,188192,36629,17911,17619,4279289,109824
15,1500.004509,14,183632,39239,18492,18440,3853317,127088
15,1500.004509,15,183107,44090,19936,19766,3549496,148483
15,1500.004509,16,176344,48795,20814,20565,3159948,173226
15,1500.004509,17,169833,54367,22006,21704,2833771,207856
15,1500.004509,18,164217,61572,23471,23105,2405458,252536
15,1500.004509,19,154716,68770,24013,23655,2049978,311497
15,1500.004509,20,148033,78165,25415,25034,1811667,388341
15,1500.004509,21,137852,87307,26109,25637,1509109,479824
15,1500.004509,22,126919,98300,26601,26187,1219778,594873
15,1500.004509,23,115054,109116,26828,26259,1005198,737317
15,1500.004509,24,102509,122620,26932,26320,774192,928315
15,1500.004509,25,90498,135002,26445,25902,600839,1164325
15,1500.004509,26,77156,147687,25123,24540,457978,1412693
15,1500.004509,27,65468,159701,23567,23196,333413,1793678
15,1500.004509,28,55146,170042,21936,21402,248111,2162574
15,1500.004509,29,53422,166727,25530,26380,223830,3694179
16,1600.006146,0,212754,15390,9979,9739,1051491,28158
16,1600.006146,1,216429,16680,10974,10968,4474850,33571
16,1600.006146,2,215296,17855,11433,11296,6680188,36983
16,1600.006146,3,214500,18976,11853,11879,7607407,41538
16,1600.006146,4,213117,19684,12157,12140,7756167,44089
16,1600.006146,5,212048,21082,12911,12822,7673717,47521
16,1600.006146,6,211815,22330,13282,13227,7374452,52378
16,1600.006146,7,208931,24193,14081,14001,6726480,58012
16,1600.006146,8,207032,26108,14779,14670,6218307,65212
16,1600.006146,9,204574,27591,15181,15172,5801520,71797
16,1600.006146,10,204646,30147,16250,16143,5593386,81138
16,1600.006146,11,199596,32824,17001,16823,5012831,91861
16,1600.006146,12,198054,36073,18141,17958,4635481,105525
16,1600.006146,13,193469,39705,18925,18819,4250955,125362
16,1600.006146,14,188243,42908,19790,19582,3822533,140912
16,1600.006146,15,187046,48391,21161,21022,3438942,169671
16,1600.006146,16,179376,54152,22581,22231,3087344,200207
16,1600.006146,17,171614,60849,23526,23255,2642148,244846
16,1600.006146,18,164507,69577,24927,24605,2267699,305446
16,1600.006146,19,154540,77325,25778,25338,1926498,373972
16,1600.006146,20,145624,88800,27039,26511,1638948,476481
16,1600.006146,21,133550,99905,27541,27019,1326212,597205
16,1600.006146,22,121859,111619,27904,27418,1078541,727363
16,1600.006146,23,108310,124171,27776,27275,827129,944604
16,1600.006146,24,94233,139295,27335,26706,642979,1189653
16,1600.006146,25,80896,152817,26201,25564,480236,1449971
16,1600.006146,26,68253,164908,24507,23990,355332,1879755
16,1600.006146,27,57137,176329,22585,22182,256068,2243102
16,1600.006146,28,46869,186594,20641,20156,186656,2730286
16,1600.006146,29,46472,182024,24034,25620,165981,4927173
17,1700.006229,0,220521,15951,10357,10127,1144625,29305
17,1700.006229,1,224153,17320,11409,11387,4798957,34850
17,1700.006229,2,222752,18690,11846,11779,7097774,39228
